Order_ID,Order_Date,Channel,Store_Location,Product_ID,Product_Name,Category,Unit_Price,Quantity_Sold,Sales_Amount,Inventory_Level,Reorder_Level,Customer_Segment,Payment_Method,Region
ORD0019,2025-10-17,Mobile App,Pune,P1002,Smartphone,Electronics,30000,4,120000,131,15,Home Office,Debit Card,North
ORD0020,2025-11-23,Online,Bangalore,P1004,Office Chair,Furniture,7000,4,28000,244,18,Home Office,Credit Card,South
ORD0021,2025-01-27,Mobile App,Pune,P1003,Headphones,Electronics,3000,4,12000,206,30,Corporate,UPI,North
ORD0022,2025-12-14,Store,Bangalore,P1002,Smartphone,Electronics,30000,3,90000,261,17,Corporate,Credit Card,North
ORD0023,2025-03-25,Mobile App,Mumbai,P1002,Smartphone,Electronics,30000,5,150000,215,42,Consumer,Credit Card,South
ORD0024,2025-10-25,Mobile App,Hyderabad,P1003,Headphones,Electronics,3000,5,15000,30,40,Home Office,Cash,South
ORD0025,2025-12-22,Marketplace,Bangalore,P1003,Headphones,Electronics,3000,1,3000,436,46,Home Office,Credit Card,West
ORD0026,2025-02-17,Online,Hyderabad,P1006,T-Shirt,Clothing,800,4,3200,241,42,Home Office,Credit Card,West
ORD0027,2025-07-12,Marketplace,Hyderabad,P1003,Headphones,Electronics,3000,3,9000,485,37,Corporate,Debit Card,East
ORD0028,2025-08-12,Store,Pune,P1005,Desk,Furniture,12000,5,60000,314,49,Consumer,Credit Card,West
ORD0029,2025-02-05,Marketplace,Mumbai,P1004,Office Chair,Furniture,7000,1,7000,340,16,Home Office,Credit Card,North
ORD0030,2025-05-21,Online,Delhi,P1005,Desk,Furniture,12000,5,60000,67,25,Consumer,Cash,South
ORD0031,2025-11-24,Store,Hyderabad,P1001,Laptop,Electronics,60000,4,240000,447,13,Home Office,UPI,North
ORD0032,2025-11-25,Mobile App,Hyderabad,P1002,Smartphone,Electronics,30000,5,150000,171,19,Home Office,Credit Card,North
ORD0033,2025-12-25,Mobile App,Bangalore,P1003,Headphones,Electronics,3000,5,15000,95,45,Home Office,Cash,East
ORD0034,2025-06-16,Mobile App,Mumbai,P1007,Jeans,Clothing,2000,1,2000,360,46,Consumer,Net Banking,West
ORD0035,2025-03-29,Marketplace,Mumbai,P1009,Watch,Accessories,5000,1,5000,484,30,Consumer,Cash,North
ORD0036,2025-03-06,Mobile App,Hyderabad,P1001,Laptop,Electronics,60000,5,300000,321,38,Consumer,Cash,East
ORD0037,2025-07-13,Marketplace,Pune,P1003,Headphones,Electronics,3000,4,12000,260,50,Consumer,Cash,North
ORD0038,2025-08-13,Store,Delhi,P1005,Desk,Furniture,12000,3,36000,267,21,Consumer,Net Banking,South
ORD0039,2025-08-29,Mobile App,Delhi,P1002,Smartphone,Electronics,30000,2,60000,360,11,Corporate,Debit Card,South
ORD0040,2025-12-26,Mobile App,Hyderabad,P1008,Sneakers,Footwear,3500,1,3500,408,19,Home Office,Credit Card,South
ORD0041,2025-04-17,Marketplace,Pune,P1004,Office Chair,Furniture,7000,1,7000,196,45,Home Office,UPI,West
ORD0042,2025-04-23,Marketplace,Delhi,P1002,Smartphone,Electronics,30000,2,60000,321,45,Corporate,Debit Card,East
ORD0043,2025-11-23,Store,Pune,P1006,T-Shirt,Clothing,800,3,2400,157,14,Consumer,Debit Card,North
ORD0044,2025-02-14,Online,Delhi,P1001,Laptop,Electronics,60000,3,180000,407,45,Consumer,Credit Card,South
ORD0045,2025-08-17,Store,Pune,P1003,Headphones,Electronics,3000,4,12000,326,13,Corporate,Credit Card,West
ORD0046,2025-12-06,Online,Hyderabad,P1002,Smartphone,Electronics,30000,3,90000,65,11,Consumer,UPI,North
ORD0047,2025-03-14,Store,Delhi,P1006,T-Shirt,Clothing,800,1,800,57,32,Home Office,Credit Card,South
ORD0048,2025-01-21,Marketplace,Delhi,P1009,Watch,Accessories,5000,4,20000,479,39,Home Office,Cash,East
ORD0049,2025-03-29,Mobile App,Hyderabad,P1002,Smartphone,Electronics,30000,5,150000,249,29,Home Office,Debit Card,West
ORD0050,2025-03-18,Online,Pune,P1003,Headphones,Electronics,3000,3,9000,32,46,Corporate,Credit Card,West
ORD0051,2025-02-13,Store,Bangalore,P1004,Office Chair,Furniture,7000,2,14000,55,37,Corporate,Credit Card,West
ORD0052,2025-08-16,Marketplace,Bangalore,P1006,T-Shirt,Clothing,800,1,800,144,29,Consumer,Debit Card,East
ORD0053,2025-07-12,Store,Bangalore,P1007,Jeans,Clothing,2000,2,4000,381,46,Corporate,Net Banking,North
ORD0054,2025-05-11,Mobile App,Hyderabad,P1010,Backpack,Accessories,1500,4,6000,494,49,Consumer,Credit Card,South
ORD0055,2025-08-24,Store,Bangalore,P1001,Laptop,Electronics,60000,3,180000,122,33,Consumer,Net Banking,West
ORD0056,2025-01-21,Mobile App,Delhi,P1004,Office Chair,Furniture,7000,1,7000,342,50,Consumer,UPI,East
ORD0057,2025-08-12,Mobile App,Pune,P1001,Laptop,Electronics,60000,5,300000,260,47,Corporate,UPI,North
ORD0058,2025-05-03,Mobile App,Delhi,P1010,Backpack,Accessories,1500,3,4500,243,18,Home Office,Debit Card,North
ORD0059,2025-08-10,Marketplace,Mumbai,P1004,Office Chair,Furniture,7000,1,7000,29,38,Home Office,UPI,East
ORD0060,2025-08-21,Online,Delhi,P1009,Watch,Accessories,5000,2,10000,427,22,Home Office,Debit Card,West
ORD0061,2025-07-18,Marketplace,Pune,P1005,Desk,Furniture,12000,1,12000,395,47,Consumer,Debit Card,North
ORD0062,2025-07-03,Store,Bangalore,P1003,Headphones,Electronics,3000,2,6000,283,26,Consumer,Debit Card,South
ORD0063,2025-10-09,Store,Delhi,P1006,T-Shirt,Clothing,800,5,4000,362,44,Consumer,UPI,South
ORD0064,2025-06-30,Online,Pune,P1005,Desk,Furniture,12000,2,24000,467,19,Corporate,UPI,North
ORD0065,2025-10-06,Online,Delhi,P1009,Watch,Accessories,5000,1,5000,498,25,Consumer,Net Banking,West
ORD0066,2025-10-09,Marketplace,Mumbai,P1010,Backpack,Accessories,1500,4,6000,441,20,Corporate,UPI,East
ORD0067,2025-01-15,Marketplace,Hyderabad,P1004,Office Chair,Furniture,7000,3,21000,378,14,Home Office,Credit Card,East
ORD0068,2025-05-29,Mobile App,Delhi,P1006,T-Shirt,Clothing,800,5,4000,405,17,Consumer,Debit Card,North
ORD0069,2025-08-05,Online,Delhi,P1003,Headphones,Electronics,3000,3,9000,429,22,Corporate,UPI,East
ORD0070,2025-09-26,Store,Bangalore,P1009,Watch,Accessories,5000,3,15000,35,12,Corporate,UPI,East
ORD0071,2025-05-06,Online,Mumbai,P1002,Smartphone,Electronics,30000,4,120000,306,27,Corporate,Net Banking,West
ORD0072,2025-12-20,Marketplace,Mumbai,P1006,T-Shirt,Clothing,800,5,4000,112,50,Consumer,Cash,East
ORD0073,2025-04-10,Store,Bangalore,P1009,Watch,Accessories,5000,4,20000,245,22,Consumer,UPI,North
ORD0074,2025-11-18,Marketplace,Mumbai,P1008,Sneakers,Footwear,3500,5,17500,214,12,Consumer,Credit Card,West
ORD0075,2025-12-28,Marketplace,Pune,P1010,Backpack,Accessories,1500,3,4500,228,47,Corporate,Net Banking,East
ORD0076,2025-05-22,Marketplace,Pune,P1004,Office Chair,Furniture,7000,4,28000,76,29,Consumer,Credit Card,South
ORD0077,2025-12-13,Marketplace,Pune,P1004,Office Chair,Furniture,7000,2,14000,430,36,Corporate,Debit Card,East
ORD0078,2025-09-21,Online,Mumbai,P1003,Headphones,Electronics,3000,5,15000,164,13,Consumer,Net Banking,South
ORD0079,2025-03-08,Mobile App,Mumbai,P1006,T-Shirt,Clothing,800,3,2400,436,28,Corporate,Credit Card,North
ORD0080,2025-09-22,Online,Delhi,P1009,Watch,Accessories,5000,2,10000,363,15,Corporate,Net Banking,South
ORD0081,2025-11-03,Online,Pune,P1005,Desk,Furniture,12000,1,12000,128,15,Consumer,Credit Card,North
ORD0082,2025-11-15,Online,Mumbai,P1002,Smartphone,Electronics,30000,4,120000,494,25,Home Office,Credit Card,South
ORD0083,2025-06-29,Mobile App,Hyderabad,P1002,Smartphone,Electronics,30000,3,90000,215,49,Corporate,Debit Card,North
ORD0084,2025-07-19,Store,Pune,P1003,Headphones,Electronics,3000,3,9000,345,48,Home Office,Debit Card,North
ORD0085,2025-08-02,Marketplace,Pune,P1003,Headphones,Electronics,3000,1,3000,328,32,Home Office,UPI,South
ORD0086,2025-05-22,Mobile App,Mumbai,P1005,Desk,Furniture,12000,2,24000,237,10,Corporate,Debit Card,West
ORD0087,2025-12-05,Mobile App,Mumbai,P1008,Sneakers,Footwear,3500,5,17500,271,28,Corporate,Credit Card,West
ORD0088,2025-06-03,Store,Mumbai,P1008,Sneakers,Footwear,3500,2,7000,221,10,Home Office,Cash,South
ORD0089,2025-12-21,Mobile App,Delhi,P1006,T-Shirt,Clothing,800,3,2400,441,23,Corporate,Debit Card,West
ORD0090,2025-06-04,Marketplace,Delhi,P1008,Sneakers,Footwear,3500,1,3500,273,41,Corporate,Net Banking,North
ORD0091,2025-06-09,Mobile App,Hyderabad,P1007,Jeans,Clothing,2000,5,10000,299,38,Consumer,UPI,West
ORD0092,2025-06-09,Mobile App,Pune,P1006,T-Shirt,Clothing,800,5,4000,36,48,Home Office,Cash,North
ORD0093,2025-02-17,Marketplace,Hyderabad,P1008,Sneakers,Footwear,3500,2,7000,330,25,Home Office,UPI,South
ORD0094,2025-08-18,Mobile App,Pune,P1004,Office Chair,Furniture,7000,5,35000,180,50,Home Office,Debit Card,East
ORD0095,2025-04-13,Store,Hyderabad,P1006,T-Shirt,Clothing,800,4,3200,260,48,Corporate,UPI,South
ORD0096,2025-03-07,Store,Bangalore,P1004,Office Chair,Furniture,7000,1,7000,129,37,Corporate,Debit Card,East
ORD0097,2025-01-16,Mobile App,Delhi,P1007,Jeans,Clothing,2000,1,2000,25,14,Home Office,Credit Card,South
ORD0098,2025-01-20,Online,Bangalore,P1002,Smartphone,Electronics,30000,1,30000,418,32,Corporate,Debit Card,West
ORD0099,2025-10-19,Store,Hyderabad,P1002,Smartphone,Electronics,30000,1,30000,408,40,Home Office,Net Banking,East
ORD0100,2025-09-10,Mobile App,Delhi,P1007,Jeans,Clothing,2000,5,10000,233,19,Corporate,Credit Card,South
ORD0101,2025-03-27,Mobile App,Delhi,P1002,Smartphone,Electronics,30000,3,90000,86,22,Consumer,Net Banking,North
ORD0102,2025-03-05,Online,Pune,P1001,Laptop,Electronics,60000,3,180000,405,12,Consumer,Net Banking,South
ORD0103,2025-02-26,Marketplace,Delhi,P1006,T-Shirt,Clothing,800,3,2400,77,22,Corporate,Cash,South
ORD0104,2025-01-15,Online,Mumbai,P1001,Laptop,Electronics,60000,3,180000,473,40,Corporate,Debit Card,South
ORD0105,2025-11-16,Marketplace,Hyderabad,P1007,Jeans,Clothing,2000,3,6000,304,40,Corporate,Net Banking,East
ORD0106,2025-02-05,Marketplace,Mumbai,P1010,Backpack,Accessories,1500,5,7500,178,11,Home Office,Credit Card,West
ORD0107,2025-05-07,Mobile App,Mumbai,P1002,Smartphone,Electronics,30000,2,60000,150,44,Corporate,Cash,West
ORD0108,2025-06-06,Marketplace,Delhi,P1004,Office Chair,Furniture,7000,4,28000,459,16,Corporate,Debit Card,East
ORD0109,2025-08-10,Online,Hyderabad,P1008,Sneakers,Footwear,3500,1,3500,252,48,Consumer,Credit Card,North
ORD0110,2025-04-23,Online,Delhi,P1005,Desk,Furniture,12000,2,24000,425,21,Consumer,Debit Card,East
ORD0111,2025-04-13,Marketplace,Pune,P1009,Watch,Accessories,5000,5,25000,52,35,Consumer,Net Banking,South
ORD0112,2025-11-13,Store,Delhi,P1008,Sneakers,Footwear,3500,4,14000,328,14,Corporate,UPI,East
ORD0113,2025-03-05,Store,Hyderabad,P1006,T-Shirt,Clothing,800,2,1600,333,29,Consumer,UPI,West
ORD0114,2025-07-21,Mobile App,Mumbai,P1010,Backpack,Accessories,1500,5,7500,108,30,Corporate,UPI,East
ORD0115,2025-02-17,Store,Pune,P1005,Desk,Furniture,12000,4,48000,253,30,Home Office,Cash,West
ORD0116,2025-07-23,Mobile App,Bangalore,P1009,Watch,Accessories,5000,3,15000,99,34,Home Office,Net Banking,East
ORD0117,2025-05-11,Store,Mumbai,P1007,Jeans,Clothing,2000,1,2000,236,20,Consumer,Debit Card,West
ORD0118,2025-05-15,Online,Pune,P1007,Jeans,Clothing,2000,2,4000,413,26,Home Office,Cash,North
ORD0119,2025-12-14,Store,Hyderabad,P1008,Sneakers,Footwear,3500,4,14000,413,32,Consumer,Debit Card,East
ORD0120,2025-05-29,Online,Mumbai,P1010,Backpack,Accessories,1500,5,7500,377,32,Home Office,UPI,North
ORD0121,2025-06-27,Store,Mumbai,P1002,Smartphone,Electronics,30000,1,30000,420,21,Consumer,Debit Card,West
ORD0122,2025-06-03,Marketplace,Delhi,P1008,Sneakers,Footwear,3500,1,3500,269,14,Home Office,Debit Card,North
ORD0123,2025-05-20,Online,Pune,P1005,Desk,Furniture,12000,4,48000,306,26,Consumer,Credit Card,West
ORD0124,2025-04-02,Marketplace,Bangalore,P1005,Desk,Furniture,12000,1,12000,323,42,Home Office,Cash,North
ORD0125,2025-04-09,Marketplace,Delhi,P1004,Office Chair,Furniture,7000,2,14000,41,17,Corporate,Debit Card,East
ORD0126,2025-11-01,Mobile App,Mumbai,P1006,T-Shirt,Clothing,800,1,800,298,17,Home Office,Credit Card,East
ORD0127,2025-10-10,Store,Mumbai,P1009,Watch,Accessories,5000,2,10000,33,12,Corporate,UPI,West
ORD0128,2025-04-23,Marketplace,Mumbai,P1001,Laptop,Electronics,60000,4,240000,167,29,Home Office,Debit Card,West
ORD0129,2025-01-23,Marketplace,Delhi,P1003,Headphones,Electronics,3000,2,6000,331,41,Home Office,Credit Card,West
ORD0130,2025-03-21,Mobile App,Delhi,P1006,T-Shirt,Clothing,800,2,1600,377,40,Consumer,Net Banking,North
ORD0131,2025-10-21,Mobile App,Bangalore,P1010,Backpack,Accessories,1500,1,1500,86,12,Corporate,Credit Card,North
ORD0132,2025-03-07,Marketplace,Pune,P1003,Headphones,Electronics,3000,2,6000,306,15,Corporate,Credit Card,North
ORD0133,2025-11-20,Marketplace,Hyderabad,P1002,Smartphone,Electronics,30000,2,60000,428,45,Home Office,Net Banking,South
ORD0134,2025-02-06,Marketplace,Mumbai,P1006,T-Shirt,Clothing,800,2,1600,470,31,Corporate,Debit Card,South
ORD0135,2025-05-17,Marketplace,Pune,P1008,Sneakers,Footwear,3500,1,3500,414,46,Home Office,Cash,East
ORD0136,2025-07-28,Marketplace,Mumbai,P1008,Sneakers,Footwear,3500,5,17500,62,31,Consumer,Credit Card,West
ORD0137,2025-12-11,Mobile App,Bangalore,P1003,Headphones,Electronics,3000,4,12000,331,41,Corporate,Cash,West
ORD0138,2025-12-20,Marketplace,Delhi,P1001,Laptop,Electronics,60000,1,60000,303,45,Consumer,UPI,West
ORD0139,2025-03-15,Mobile App,Delhi,P1008,Sneakers,Footwear,3500,1,3500,429,50,Corporate,UPI,West
ORD0140,2025-09-11,Online,Delhi,P1001,Laptop,Electronics,60000,4,240000,73,25,Consumer,Debit Card,West
ORD0141,2025-03-12,Mobile App,Mumbai,P1003,Headphones,Electronics,3000,4,12000,331,48,Consumer,Cash,West
ORD0142,2025-07-27,Marketplace,Hyderabad,P1007,Jeans,Clothing,2000,5,10000,375,25,Consumer,Credit Card,West
ORD0143,2025-05-07,Mobile App,Mumbai,P1001,Laptop,Electronics,60000,4,240000,439,13,Consumer,Net Banking,West
ORD0144,2025-03-11,Marketplace,Hyderabad,P1008,Sneakers,Footwear,3500,3,10500,353,50,Consumer,Credit Card,South
ORD0145,2025-01-10,Online,Delhi,P1010,Backpack,Accessories,1500,4,6000,48,27,Corporate,Net Banking,West
ORD0146,2025-05-13,Store,Delhi,P1005,Desk,Furniture,12000,1,12000,161,28,Corporate,Debit Card,East
ORD0147,2025-07-05,Mobile App,Hyderabad,P1006,T-Shirt,Clothing,800,2,1600,89,36,Corporate,Net Banking,East
ORD0148,2025-12-18,Online,Mumbai,P1008,Sneakers,Footwear,3500,5,17500,395,26,Consumer,Net Banking,South
ORD0149,2025-01-05,Marketplace,Bangalore,P1004,Office Chair,Furniture,7000,5,35000,253,18,Corporate,UPI,South
ORD0150,2025-02-01,Store,Pune,P1010,Backpack,Accessories,1500,3,4500,426,46,Corporate,Debit Card,South
ORD0151,2025-07-24,Marketplace,Hyderabad,P1001,Laptop,Electronics,60000,1,60000,418,44,Consumer,Cash,South
ORD0152,2025-05-20,Mobile App,Delhi,P1004,Office Chair,Furniture,7000,3,21000,206,13,Home Office,Net Banking,West
ORD0153,2025-08-25,Online,Mumbai,P1009,Watch,Accessories,5000,3,15000,294,31,Corporate,UPI,East
ORD0154,2025-06-20,Marketplace,Mumbai,P1002,Smartphone,Electronics,30000,3,90000,378,20,Home Office,Cash,South
ORD0155,2025-04-22,Online,Pune,P1006,T-Shirt,Clothing,800,3,2400,63,27,Consumer,Debit Card,East
ORD0156,2025-06-25,Online,Pune,P1009,Watch,Accessories,5000,3,15000,397,26,Home Office,Credit Card,East
ORD0157,2025-01-04,Store,Pune,P1004,Office Chair,Furniture,7000,4,28000,232,18,Consumer,Cash,North
ORD0158,2025-03-14,Marketplace,Pune,P1002,Smartphone,Electronics,30000,5,150000,154,11,Corporate,UPI,North
ORD0159,2025-05-12,Store,Pune,P1006,T-Shirt,Clothing,800,2,1600,206,46,Consumer,Cash,East
ORD0160,2025-09-19,Store,Hyderabad,P1009,Watch,Accessories,5000,5,25000,438,33,Consumer,Cash,North
ORD0161,2025-12-14,Online,Bangalore,P1005,Desk,Furniture,12000,2,24000,32,17,Consumer,Credit Card,East
ORD0162,2025-08-12,Mobile App,Pune,P1007,Jeans,Clothing,2000,5,10000,344,13,Consumer,Credit Card,North
ORD0163,2025-04-10,Online,Bangalore,P1007,Jeans,Clothing,2000,4,8000,256,30,Corporate,UPI,West
ORD0164,2025-07-09,Mobile App,Pune,P1005,Desk,Furniture,12000,4,48000,242,34,Consumer,Credit Card,West
ORD0165,2025-10-06,Marketplace,Delhi,P1010,Backpack,Accessories,1500,4,6000,469,50,Corporate,Debit Card,North
ORD0166,2025-02-12,Store,Bangalore,P1001,Laptop,Electronics,60000,1,60000,493,23,Consumer,Credit Card,West
ORD0167,2025-02-24,Marketplace,Delhi,P1006,T-Shirt,Clothing,800,1,800,334,17,Consumer,Net Banking,East
ORD0168,2025-07-16,Marketplace,Hyderabad,P1006,T-Shirt,Clothing,800,5,4000,161,10,Corporate,Credit Card,East
ORD0169,2025-04-14,Online,Hyderabad,P1003,Headphones,Electronics,3000,5,15000,228,25,Home Office,Net Banking,West
ORD0170,2025-06-20,Store,Hyderabad,P1005,Desk,Furniture,12000,3,36000,474,20,Home Office,Cash,East
ORD0171,2025-09-22,Store,Bangalore,P1001,Laptop,Electronics,60000,2,120000,342,27,Home Office,Credit Card,North
ORD0172,2025-10-30,Store,Delhi,P1009,Watch,Accessories,5000,1,5000,240,42,Corporate,Cash,North
ORD0173,2025-02-16,Mobile App,Hyderabad,P1005,Desk,Furniture,12000,5,60000,425,18,Corporate,Credit Card,South
ORD0174,2025-12-26,Marketplace,Pune,P1010,Backpack,Accessories,1500,5,7500,47,20,Corporate,Credit Card,West
ORD0175,2025-04-14,Mobile App,Delhi,P1005,Desk,Furniture,12000,2,24000,401,40,Consumer,Net Banking,East
ORD0176,2025-12-31,Online,Pune,P1006,T-Shirt,Clothing,800,1,800,115,15,Home Office,Debit Card,West
ORD0177,2025-09-10,Online,Pune,P1007,Jeans,Clothing,2000,5,10000,75,39,Corporate,Credit Card,South
ORD0178,2025-01-06,Marketplace,Delhi,P1003,Headphones,Electronics,3000,1,3000,307,19,Consumer,Debit Card,East
ORD0179,2025-04-26,Online,Hyderabad,P1005,Desk,Furniture,12000,4,48000,453,20,Home Office,Net Banking,South
ORD0180,2025-07-24,Marketplace,Bangalore,P1004,Office Chair,Furniture,7000,1,7000,469,43,Consumer,Net Banking,East
ORD0181,2025-07-12,Online,Mumbai,P1002,Smartphone,Electronics,30000,2,60000,474,12,Corporate,Credit Card,West
ORD0182,2025-07-27,Online,Pune,P1005,Desk,Furniture,12000,5,60000,453,28,Corporate,Credit Card,North
ORD0183,2025-05-15,Marketplace,Delhi,P1007,Jeans,Clothing,2000,3,6000,228,13,Home Office,Net Banking,South
ORD0184,2025-05-11,Mobile App,Pune,P1005,Desk,Furniture,12000,3,36000,449,38,Corporate,Credit Card,South
ORD0185,2025-09-25,Online,Delhi,P1004,Office Chair,Furniture,7000,4,28000,318,37,Home Office,Cash,West
ORD0186,2025-07-03,Store,Mumbai,P1008,Sneakers,Footwear,3500,2,7000,78,37,Home Office,Net Banking,North
ORD0187,2025-05-19,Online,Pune,P1003,Headphones,Electronics,3000,2,6000,97,19,Corporate,Credit Card,West
ORD0188,2025-12-18,Mobile App,Delhi,P1004,Office Chair,Furniture,7000,2,14000,104,17,Home Office,Debit Card,East
ORD0189,2025-01-14,Mobile App,Pune,P1008,Sneakers,Footwear,3500,3,10500,352,34,Corporate,Net Banking,West
ORD0190,2025-07-23,Marketplace,Pune,P1007,Jeans,Clothing,2000,3,6000,486,10,Consumer,Debit Card,East
ORD0191,2025-11-28,Store,Bangalore,P1001,Laptop,Electronics,60000,5,300000,164,17,Consumer,Cash,North
ORD0192,2025-08-30,Store,Bangalore,P1010,Backpack,Accessories,1500,1,1500,197,18,Consumer,Cash,East
ORD0193,2025-07-24,Store,Delhi,P1010,Backpack,Accessories,1500,1,1500,416,11,Consumer,Cash,South
ORD0194,2025-03-15,Mobile App,Bangalore,P1001,Laptop,Electronics,60000,2,120000,43,21,Corporate,Cash,South
ORD0195,2025-10-13,Mobile App,Hyderabad,P1010,Backpack,Accessories,1500,1,1500,258,48,Corporate,Net Banking,North
ORD0196,2025-02-26,Mobile App,Hyderabad,P1006,T-Shirt,Clothing,800,5,4000,105,39,Corporate,Credit Card,East
ORD0197,2025-10-24,Store,Mumbai,P1002,Smartphone,Electronics,30000,2,60000,289,28,Corporate,Debit Card,South
ORD0198,2025-01-04,Mobile App,Hyderabad,P1003,Headphones,Electronics,3000,2,6000,22,46,Corporate,UPI,West
ORD0199,2025-03-31,Store,Bangalore,P1009,Watch,Accessories,5000,4,20000,462,46,Corporate,Debit Card,North
ORD0200,2025-05-03,Store,Delhi,P1003,Headphones,Electronics,3000,3,9000,422,13,Consumer,UPI,East
ORD0201,2025-05-25,Mobile App,Delhi,P1004,Office Chair,Furniture,7000,3,21000,241,40,Consumer,Net Banking,West
ORD0202,2025-02-07,Store,Delhi,P1007,Jeans,Clothing,2000,1,2000,238,22,Home Office,UPI,North
ORD0203,2025-01-07,Marketplace,Hyderabad,P1005,Desk,Furniture,12000,4,48000,213,37,Corporate,Net Banking,North
ORD0204,2025-11-21,Online,Delhi,P1008,Sneakers,Footwear,3500,4,14000,144,30,Home Office,UPI,South
ORD0205,2025-05-28,Store,Delhi,P1001,Laptop,Electronics,60000,5,300000,314,30,Consumer,Debit Card,North
ORD0206,2025-02-01,Mobile App,Delhi,P1005,Desk,Furniture,12000,5,60000,272,21,Home Office,Debit Card,North
ORD0207,2025-12-06,Mobile App,Hyderabad,P1002,Smartphone,Electronics,30000,2,60000,401,16,Corporate,UPI,West
ORD0208,2025-02-07,Store,Mumbai,P1009,Watch,Accessories,5000,3,15000,322,14,Home Office,Cash,East
ORD0209,2025-03-23,Marketplace,Mumbai,P1004,Office Chair,Furniture,7000,3,21000,274,15,Consumer,Cash,South
ORD0210,2025-01-27,Store,Pune,P1009,Watch,Accessories,5000,4,20000,385,17,Consumer,UPI,North
ORD0211,2025-07-21,Store,Mumbai,P1003,Headphones,Electronics,3000,2,6000,355,12,Consumer,Net Banking,East
ORD0212,2025-07-04,Mobile App,Mumbai,P1005,Desk,Furniture,12000,2,24000,99,10,Consumer,Credit Card,North
ORD0213,2025-02-22,Store,Delhi,P1010,Backpack,Accessories,1500,5,7500,265,27,Home Office,Cash,South
ORD0214,2025-11-06,Store,Mumbai,P1006,T-Shirt,Clothing,800,4,3200,216,10,Corporate,Cash,East
ORD0215,2025-02-22,Store,Hyderabad,P1003,Headphones,Electronics,3000,5,15000,455,19,Corporate,UPI,East
ORD0216,2025-02-19,Store,Bangalore,P1005,Desk,Furniture,12000,5,60000,125,23,Consumer,Debit Card,South
ORD0217,2025-01-13,Marketplace,Pune,P1002,Smartphone,Electronics,30000,5,150000,84,43,Home Office,Cash,North
ORD0218,2025-07-21,Online,Bangalore,P1003,Headphones,Electronics,3000,3,9000,227,17,Consumer,Net Banking,North
ORD0219,2025-06-26,Marketplace,Mumbai,P1007,Jeans,Clothing,2000,2,4000,332,42,Consumer,Net Banking,East
ORD0220,2025-04-09,Store,Mumbai,P1001,Laptop,Electronics,60000,4,240000,477,11,Home Office,Cash,South
ORD0221,2025-02-08,Store,Mumbai,P1009,Watch,Accessories,5000,2,10000,446,13,Consumer,Credit Card,South
ORD0222,2025-01-10,Marketplace,Bangalore,P1008,Sneakers,Footwear,3500,2,7000,343,29,Corporate,UPI,West
ORD0223,2025-09-30,Marketplace,Mumbai,P1010,Backpack,Accessories,1500,5,7500,319,15,Corporate,Net Banking,East
ORD0224,2025-12-15,Store,Bangalore,P1001,Laptop,Electronics,60000,2,120000,72,28,Consumer,Credit Card,North
